                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.3084,                0.67244,                 1.6437,                 0.7449,                0.56273,                0.61621,                0.40187,                  2.653,                 2.3191,                 2.0202,               0.008845,               0.008845,               0.008845
                     37,                 1.2974,                0.66294,                 1.6441,                0.74744,                0.53908,                0.60998,                0.39895,                 2.6771,                 2.4395,                 2.0194,               0.008812,               0.008812,               0.008812
                     38,                 1.3042,                0.66315,                   1.64,                0.74178,                0.55062,                0.61831,                0.39985,                 2.7139,                 2.3358,                 2.0509,               0.008779,               0.008779,               0.008779
                     39,                 1.3058,                0.66463,                 1.6454,                0.75301,                0.55417,                 0.6238,                 0.4077,                 2.6649,                 2.3022,                 2.0372,               0.008746,               0.008746,               0.008746
                     40,                  1.294,                0.66075,                 1.6396,                0.75694,                0.54618,                0.61532,                0.40354,                 2.6735,                 2.3501,                 2.0528,               0.008713,               0.008713,               0.008713
                     41,                 1.3305,                0.67446,                 1.6446,                0.75497,                0.55773,                0.61325,                0.39462,                 2.6816,                 2.3466,                 2.0505,                0.00868,                0.00868,                0.00868
                     42,                 1.3093,                0.66614,                 1.6422,                0.73342,                0.57908,                0.62828,                0.41284,                 2.6482,                 2.3445,                  2.027,               0.008647,               0.008647,               0.008647
                     43,                 1.2908,                0.66207,                 1.6413,                0.74736,                0.59414,                 0.6426,                0.41773,                 2.6191,                 2.2028,                   2.03,               0.008614,               0.008614,               0.008614
                     44,                 1.2963,                0.66666,                 1.6409,                 0.7232,                0.57726,                0.62468,                0.40691,                 2.7175,                 2.3788,                 2.0449,               0.008581,               0.008581,               0.008581
                     45,                 1.3067,                0.69057,                 1.6478,                0.72508,                0.58082,                0.62648,                  0.408,                  2.613,                 2.1714,                 2.0283,               0.008548,               0.008548,               0.008548
                     46,                 1.2955,                  0.671,                 1.6449,                0.75168,                0.56039,                0.60824,                0.40161,                  2.635,                 2.5291,                 2.0257,               0.008515,               0.008515,               0.008515
                     47,                 1.3192,                0.67119,                 1.6441,                0.71827,                0.55925,                0.60893,                0.39898,                 2.6732,                 2.4473,                 2.0139,               0.008482,               0.008482,               0.008482
                     48,                 1.2862,                0.64662,                 1.6427,                0.73394,                0.55506,                0.60494,                0.39669,                 2.6825,                 2.4221,                 2.0375,               0.008449,               0.008449,               0.008449
                     49,                 1.2904,                0.65588,                 1.6447,                0.73414,                0.57371,                0.62782,                0.41193,                 2.6292,                 2.3791,                 2.0256,               0.008416,               0.008416,               0.008416
                     50,                 1.2746,                0.64782,                 1.6411,                0.77426,                0.53197,                0.60958,                0.39558,                 2.6705,                 2.4371,                 2.0271,               0.008383,               0.008383,               0.008383
                     51,                 1.3125,                0.67115,                 1.6471,                0.75747,                0.56306,                0.61747,                0.39553,                 2.7526,                 2.6082,                 2.0373,                0.00835,                0.00835,                0.00835
                     52,                 1.3052,                0.66189,                 1.6453,                0.74124,                0.57993,                0.63294,                0.40559,                 2.6839,                 2.4005,                  2.023,               0.008317,               0.008317,               0.008317
                     53,                 1.2852,                0.65419,                   1.65,                0.73869,                0.53978,                0.61002,                0.40149,                  2.688,                 2.7067,                 2.0322,               0.008284,               0.008284,               0.008284
                     54,                 1.2829,                0.64877,                 1.6407,                0.76469,                0.55417,                 0.6159,                0.40317,                 2.6865,                 2.4257,                 2.0288,               0.008251,               0.008251,               0.008251
                     55,                 1.2753,                0.64558,                 1.6409,                 0.7454,                0.57721,                0.63228,                0.41294,                 2.5836,                 2.2541,                 2.0244,               0.008218,               0.008218,               0.008218
                     56,                 1.2735,                0.65437,                 1.6423,                0.75162,                0.53375,                0.59659,                0.38343,                 2.7275,                 2.4425,                 2.0405,               0.008185,               0.008185,               0.008185
                     57,                 1.2946,                0.66178,                 1.6397,                 0.7119,                0.54973,                0.58908,                0.38312,                 2.7835,                 2.5914,                 2.0864,               0.008152,               0.008152,               0.008152
