                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 2.3028,                 1.4381,                  1.813,                0.82002,                0.26765,                0.27697,                0.16023,                 3.1232,                  2.667,                 2.0791,               0.008845,               0.008845,               0.008845
                     37,                 2.2798,                 1.4064,                 1.8125,                 0.8559,                0.26376,                0.29856,                0.18221,                 2.9969,                 2.4263,                 2.0711,               0.008812,               0.008812,               0.008812
                     38,                 2.2578,                 1.3935,                 1.8104,                0.85952,                0.24218,                0.28025,                0.16737,                 3.0415,                 2.5463,                 2.0637,               0.008779,               0.008779,               0.008779
                     39,                 2.2574,                 1.3768,                 1.8074,                0.84161,                0.24352,                0.27531,                0.15438,                 3.2307,                 2.7276,                 2.0908,               0.008746,               0.008746,               0.008746
                     40,                 2.2039,                 1.3441,                 1.7981,                0.83674,                0.27003,                0.28366,                0.17166,                 3.0462,                 2.5778,                 2.0829,               0.008713,               0.008713,               0.008713
                     41,                 2.2249,                 1.3508,                 1.7996,                0.83362,                0.26968,                0.28957,                0.17602,                 3.0175,                   2.55,                 2.0682,                0.00868,                0.00868,                0.00868
                     42,                 2.2088,                 1.3358,                  1.796,                0.81036,                0.26229,                0.27282,                  0.158,                 3.1017,                 2.7137,                 2.1086,               0.008647,               0.008647,               0.008647
                     43,                 2.1908,                 1.3324,                 1.7992,                0.82733,                0.26944,                0.27632,                0.16658,                 3.0119,                 2.6644,                 2.0555,               0.008614,               0.008614,               0.008614
                     44,                 2.1705,                 1.3144,                  1.785,                0.85345,                0.25514,                 0.2874,                0.16573,                 3.1762,                 2.5934,                 2.1006,               0.008581,               0.008581,               0.008581
                     45,                 2.1231,                 1.2846,                 1.7891,                0.86518,                0.25537,                0.29217,                0.17607,                  2.997,                 2.5592,                 2.0602,               0.008548,               0.008548,               0.008548
                     46,                 2.0827,                 1.2481,                 1.7738,                0.84834,                0.25966,                0.28028,                0.16582,                 3.0865,                 2.6825,                 2.0885,               0.008515,               0.008515,               0.008515
                     47,                 2.1313,                 1.2782,                  1.783,                0.84383,                0.26856,                 0.2823,                0.17426,                 2.9233,                 2.6161,                 2.0554,               0.008482,               0.008482,               0.008482
                     48,                 2.1115,                 1.2752,                 1.7778,                0.84665,                0.26988,                0.29074,                0.17773,                 2.9718,                 2.4944,                 2.0685,               0.008449,               0.008449,               0.008449
                     49,                  2.091,                 1.2452,                  1.772,                0.85192,                0.24665,                0.27991,                0.17591,                 2.9125,                 2.8479,                 2.0459,               0.008416,               0.008416,               0.008416
                     50,                 2.0962,                 1.2576,                 1.7735,                0.83336,                0.27264,                0.29131,                0.17786,                 2.9256,                  2.538,                 2.0489,               0.008383,               0.008383,               0.008383
                     51,                 2.0651,                 1.2245,                 1.7628,                0.87561,                  0.255,                0.29316,                0.18036,                 2.9239,                  2.514,                 2.0362,                0.00835,                0.00835,                0.00835
                     52,                 2.0504,                 1.2192,                 1.7721,                0.84574,                0.25201,                0.28663,                0.17043,                 3.0543,                 2.6464,                 2.0639,               0.008317,               0.008317,               0.008317
                     53,                 2.0344,                  1.215,                 1.7654,                0.86495,                0.26586,                0.29733,                0.18376,                  2.872,                 2.4739,                 2.0256,               0.008284,               0.008284,               0.008284
                     54,                 2.0586,                 1.2222,                 1.7664,                0.87402,                 0.2538,                 0.2843,                0.17135,                 2.9686,                 2.5785,                 2.0746,               0.008251,               0.008251,               0.008251
                     55,                 1.9891,                 1.1653,                  1.758,                0.85657,                 0.2605,                0.29218,                0.17222,                 3.0557,                 2.5865,                 2.0874,               0.008218,               0.008218,               0.008218
                     56,                 2.0254,                 1.2008,                 1.7611,                0.82609,                0.25559,                0.27453,                 0.1707,                 2.9541,                 2.5838,                  2.044,               0.008185,               0.008185,               0.008185
                     57,                 2.0344,                  1.186,                 1.7644,                0.84669,                0.26631,                  0.295,                0.18093,                 2.9178,                 2.4335,                 2.0576,               0.008152,               0.008152,               0.008152
                     58,                 1.9699,                 1.1613,                 1.7531,                 0.8454,                0.26586,                 0.2962,                0.17953,                 2.9392,                 2.4773,                 2.0614,               0.008119,               0.008119,               0.008119
