                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                   2.41,                 1.5063,                 1.8376,                0.67245,                0.48757,                  0.518,                0.28758,                 3.2641,                 2.6189,                 2.1182,               0.008845,               0.008845,               0.008845
                     37,                 2.3564,                 1.4727,                 1.8334,                0.67746,                 0.5071,                 0.5405,                0.30992,                 3.1118,                 2.6086,                 2.0908,               0.008812,               0.008812,               0.008812
                     38,                 2.3178,                 1.4641,                 1.8252,                0.62204,                0.51421,                0.53015,                 0.2982,                 3.2285,                 2.6271,                 2.1239,               0.008779,               0.008779,               0.008779
                     39,                 2.3065,                  1.412,                 1.8108,                 0.6817,                0.50089,                0.54112,                0.31273,                 3.1372,                 2.6249,                 2.0832,               0.008746,               0.008746,               0.008746
                     40,                 2.2836,                 1.3907,                 1.8087,                0.64957,                0.51362,                0.54678,                 0.3221,                 3.1087,                 2.5226,                 2.0916,               0.008713,               0.008713,               0.008713
                     41,                 2.2824,                 1.4118,                  1.809,                0.72136,                0.49911,                0.55193,                0.33203,                 2.9767,                 2.6341,                 2.0666,                0.00868,                0.00868,                0.00868
                     42,                 2.2909,                   1.41,                 1.8128,                 0.7026,                0.51066,                0.55542,                 0.3282,                  3.143,                 2.4726,                 2.0826,               0.008647,               0.008647,               0.008647
                     43,                 2.2354,                 1.3648,                  1.802,                0.66381,                 0.5151,                0.55716,                0.30873,                 3.2849,                 2.5451,                 2.1382,               0.008614,               0.008614,               0.008614
                     44,                 2.2524,                 1.3717,                  1.804,                0.69959,                0.50799,                0.55335,                0.32141,                  3.131,                 2.4961,                 2.0817,               0.008581,               0.008581,               0.008581
                     45,                 2.1671,                 1.3205,                 1.7892,                0.67284,                0.52309,                0.55617,                0.33422,                 3.0608,                 2.5726,                 2.0863,               0.008548,               0.008548,               0.008548
                     46,                  2.211,                 1.3394,                 1.7994,                0.70338,                0.51954,                0.56977,                  0.337,                 3.0253,                 2.5505,                 2.0596,               0.008515,               0.008515,               0.008515
                     47,                 2.2021,                 1.3453,                 1.7901,                0.71241,                0.51243,                 0.5579,                0.33164,                 3.0106,                 2.5326,                 2.0641,               0.008482,               0.008482,               0.008482
                     48,                  2.143,                 1.2927,                 1.7855,                 0.6824,                0.55773,                0.58642,                0.34463,                 3.0067,                 2.4042,                 2.0624,               0.008449,               0.008449,               0.008449
                     49,                 2.1242,                 1.2666,                  1.775,                 0.6648,                0.52043,                0.55674,                0.32416,                 3.1088,                 2.4886,                 2.0923,               0.008416,               0.008416,               0.008416
                     50,                 2.1444,                 1.2767,                 1.7785,                0.68038,                0.53197,                0.55714,                0.32892,                 3.0275,                 2.4567,                 2.0539,               0.008383,               0.008383,               0.008383
                     51,                 2.1275,                 1.2778,                 1.7825,                0.65486,                0.52131,                0.53908,                0.31425,                 3.1399,                 2.6117,                 2.0967,                0.00835,                0.00835,                0.00835
                     52,                 2.1023,                 1.2506,                 1.7767,                0.67862,                0.50355,                0.54051,                0.31064,                 3.1686,                 2.6551,                 2.1126,               0.008317,               0.008317,               0.008317
                     53,                 2.0721,                 1.2283,                 1.7753,                0.72011,                0.51182,                0.56364,                0.33401,                 3.0541,                 2.5669,                 2.0987,               0.008284,               0.008284,               0.008284
                     54,                 2.0788,                  1.254,                 1.7763,                0.68837,                0.50178,                0.55256,                0.32834,                 3.0581,                 2.6586,                 2.0629,               0.008251,               0.008251,               0.008251
                     55,                 2.0471,                 1.1978,                 1.7628,                0.68275,                0.52575,                0.55897,                0.33944,                  2.973,                 2.5463,                 2.0486,               0.008218,               0.008218,               0.008218
                     56,                 2.0581,                 1.2123,                 1.7642,                0.74926,                0.51485,                0.58209,                0.34449,                 2.9956,                 2.5775,                 2.0421,               0.008185,               0.008185,               0.008185
                     57,                 2.0593,                 1.2029,                 1.7692,                0.68892,                0.51924,                0.57115,                0.33758,                 3.0271,                  2.584,                 2.0642,               0.008152,               0.008152,               0.008152
                     58,                 2.0297,                  1.179,                 1.7603,                0.70787,                0.48135,                  0.558,                0.33764,                 2.9408,                 2.5583,                  2.042,               0.008119,               0.008119,               0.008119
                     59,                 1.9958,                 1.1726,                 1.7592,                0.71135,                0.52308,                0.56284,                0.34418,                 2.9782,                 2.6726,                 2.0552,               0.008086,               0.008086,               0.008086
                     60,                 2.0226,                 1.1757,                 1.7554,                 0.7003,                0.52504,                0.57233,                0.34737,                 2.9624,                 2.4758,                 2.0562,               0.008053,               0.008053,               0.008053
                     61,                 1.9931,                 1.1703,                 1.7534,                0.69095,                0.49837,                0.55738,                0.33446,                 2.9971,                  2.746,                 2.0495,                0.00802,                0.00802,                0.00802
                     62,                 1.9813,                 1.1428,                 1.7482,                0.69048,                0.53108,                0.57574,                0.33655,                 3.0596,                 2.4307,                 2.0978,               0.007987,               0.007987,               0.007987
                     63,                  1.966,                 1.1476,                 1.7499,                0.72291,                0.49911,                0.57953,                0.35774,                  2.915,                 2.4063,                 2.0431,               0.007954,               0.007954,               0.007954
                     64,                 1.9874,                   1.15,                 1.7505,                0.69526,                0.48668,                0.55043,                0.33222,                  2.931,                 2.5823,                 2.0362,               0.007921,               0.007921,               0.007921
                     65,                 1.9534,                 1.1321,                 1.7469,                0.67389,                0.52753,                0.56764,                0.35131,                 2.9243,                 2.6503,                 2.0512,               0.007888,               0.007888,               0.007888
                     66,                 1.9365,                 1.1278,                 1.7454,                0.72181,                0.49201,                0.56289,                0.34947,                 2.8872,                 2.4902,                 2.0263,               0.007855,               0.007855,               0.007855
