                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.7336,                  5.096,                 4.0451,                 0.0003,                0.04796,                0.00016,                  6e-05,                 5.2701,                 4.7563,                 3.3494,                 0.0883,                 0.0013,                 0.0013
                      2,                 4.4555,                 3.1768,                  2.758,                 0.0003,                0.04796,                0.00016,                  6e-05,                    nan,                    nan,                    nan,               0.075691,              0.0026911,              0.0026911
                      3,                 3.7279,                 3.0235,                 2.1263,                 0.0003,                0.04796,                0.00016,                  6e-05,                    nan,                    nan,                    nan,               0.063073,              0.0040729,              0.0040729
                      4,                 3.1755,                 2.6426,                 1.7359,                 0.0003,                0.04796,                0.00016,                  6e-05,                    nan,                    nan,                    nan,               0.050446,              0.0054456,              0.0054456
                      5,                 2.6286,                 2.1656,                 1.5161,                0.00012,                0.01865,                  7e-05,                  2e-05,                    nan,                    nan,                    nan,               0.037809,              0.0068089,              0.0068089
                      6,                 2.3451,                 1.9023,                 1.4131,                 0.0004,                0.06394,                0.00025,                  6e-05,                    nan,                    nan,                    nan,               0.025163,               0.008163,               0.008163
                      7,                 2.0836,                 1.7155,                 1.3087,                0.00407,                0.35968,                0.00258,                0.00107,                 2.4532,                    inf,                 1.8569,               0.012508,              0.0095079,              0.0095079
                      8,                 1.9134,                 1.5717,                 1.2417,                 0.0378,                0.02131,                0.01107,                0.00485,                 2.0123,                    inf,                 1.5084,               0.009769,               0.009769,               0.009769
                      9,                 1.8258,                 1.4819,                 1.2064,                0.35938,                0.28419,                0.22296,                0.10653,                 1.9306,                 6.9258,                 1.3997,               0.009736,               0.009736,               0.009736
                     10,                 1.7753,                 1.4246,                 1.1861,                0.41536,                0.34813,                0.29331,                0.12621,                 1.8197,                 3.8837,                 1.2423,               0.009703,               0.009703,               0.009703
                     11,                 1.6683,                 1.3542,                 1.1477,                0.52998,                0.38632,                0.36322,                0.17444,                 1.7212,                 2.1202,                  1.208,                0.00967,                0.00967,                0.00967
                     12,                 1.6397,                 1.3075,                 1.1308,                0.52452,                0.38455,                   0.35,                 0.1742,                 1.7151,                 2.2889,                 1.1947,               0.009637,               0.009637,               0.009637
                     13,                  1.595,                 1.2664,                 1.1179,                0.52154,                0.42451,                0.39016,                0.18897,                 1.7084,                 1.6554,                 1.1669,               0.009604,               0.009604,               0.009604
                     14,                 1.5671,                 1.2269,                 1.1034,                 0.5508,                0.41563,                0.40473,                0.19367,                 1.7699,                 1.5349,                 1.1588,               0.009571,               0.009571,               0.009571
                     15,                  1.514,                 1.1917,                 1.0902,                0.58454,                0.42274,                0.43049,                0.21112,                 1.6873,                 1.4508,                 1.1653,               0.009538,               0.009538,               0.009538
                     16,                 1.5203,                 1.2029,                 1.0951,                0.54978,                 0.4627,                0.44695,                0.23928,                 1.5542,                 1.5012,                 1.1383,               0.009505,               0.009505,               0.009505
                     17,                 1.4555,                   1.15,                   1.08,                0.50429,                0.43783,                0.40855,                0.19823,                 1.7525,                  1.519,                 1.1631,               0.009472,               0.009472,               0.009472
                     18,                 1.4545,                 1.1089,                 1.0716,                0.51576,                0.43428,                0.38581,                0.18475,                 1.7734,                 1.9964,                 1.1748,               0.009439,               0.009439,               0.009439
                     19,                 1.4154,                 1.0619,                  1.056,                0.54785,                0.45204,                0.43886,                0.23048,                  1.673,                 1.6186,                 1.1531,               0.009406,               0.009406,               0.009406
                     20,                 1.3764,                 1.0442,                 1.0485,                0.51023,                0.44938,                0.39761,                0.20333,                 1.6528,                 1.8688,                 1.1375,               0.009373,               0.009373,               0.009373
                     21,                 1.3246,                0.99796,                 1.0311,                0.60698,                0.46086,                0.47873,                0.26041,                 1.6245,                 1.3245,                 1.1149,                0.00934,                0.00934,                0.00934
