                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 2.2363,                 1.3379,                 1.8072,                0.68627,                0.52063,                 0.5675,                0.33191,                 3.0201,                 2.5486,                  2.077,               0.008845,               0.008845,               0.008845
                     37,                  2.237,                  1.357,                 1.8075,                0.71892,                0.50654,                0.57667,                0.33777,                 3.0349,                 2.6495,                  2.074,               0.008812,               0.008812,               0.008812
                     38,                 2.1985,                 1.3294,                 1.8021,                0.69604,                0.50799,                0.56812,                0.31322,                 3.1474,                 2.6094,                 2.1092,               0.008779,               0.008779,               0.008779
                     39,                  2.177,                 1.3143,                  1.799,                0.71698,                0.56572,                0.61462,                0.36917,                  2.895,                 2.3413,                 2.0459,               0.008746,               0.008746,               0.008746
                     40,                 2.1931,                 1.2928,                 1.7927,                 0.7082,                0.50437,                0.57368,                0.32822,                 3.0651,                 2.6266,                 2.0862,               0.008713,               0.008713,               0.008713
                     41,                 2.1428,                 1.2813,                 1.7931,                0.67805,                0.53306,                0.56929,                 0.3309,                 3.0014,                 2.5954,                 2.0746,                0.00868,                0.00868,                0.00868
                     42,                 2.1416,                 1.2717,                  1.784,                 0.6621,                0.51865,                0.56183,                0.32333,                 3.0841,                 2.5916,                 2.1098,               0.008647,               0.008647,               0.008647
                     43,                 2.1192,                 1.2492,                 1.7807,                0.66892,                0.53829,                0.58632,                0.35321,                 2.9508,                 2.5027,                 2.0717,               0.008614,               0.008614,               0.008614
                     44,                 2.1203,                 1.2584,                 1.7846,                0.66385,                0.53492,                0.57627,                0.33772,                 3.0298,                 2.5805,                 2.0943,               0.008581,               0.008581,               0.008581
                     45,                 2.1044,                 1.2551,                 1.7794,                0.68092,                 0.5222,                0.57848,                0.35014,                 2.9394,                  2.441,                 2.0795,               0.008548,               0.008548,               0.008548
                     46,                  2.076,                 1.2231,                 1.7767,                0.69039,                0.53908,                0.58492,                 0.3533,                 2.9012,                 2.4687,                 2.0627,               0.008515,               0.008515,               0.008515
                     47,                 2.0538,                 1.2135,                 1.7719,                0.68946,                0.54885,                0.59473,                0.37342,                 2.8376,                 2.4633,                 2.0316,               0.008482,               0.008482,               0.008482
                     48,                 2.0465,                 1.1997,                 1.7642,                0.65845,                0.56394,                0.58934,                0.36152,                 2.9049,                 2.3695,                 2.0599,               0.008449,               0.008449,               0.008449
                     49,                  2.021,                 1.1807,                 1.7696,                0.65156,                 0.5746,                0.59647,                0.35153,                 2.9716,                 2.4893,                 2.0881,               0.008416,               0.008416,               0.008416
                     50,                 2.0163,                 1.1731,                 1.7609,                0.70198,                 0.5151,                0.57504,                0.34851,                 2.9604,                 2.6301,                 2.0567,               0.008383,               0.008383,               0.008383
                     51,                 2.0022,                 1.1684,                 1.7671,                0.70347,                0.55506,                0.59071,                0.36327,                   2.85,                 2.4453,                 2.0482,                0.00835,                0.00835,                0.00835
                     52,                 2.0068,                 1.1712,                 1.7623,                0.67066,                0.54263,                0.58909,                0.35995,                 2.8857,                 2.4513,                 2.0789,               0.008317,               0.008317,               0.008317
                     53,                 1.9835,                 1.1488,                 1.7575,                0.68256,                0.52705,                0.57653,                0.36264,                 2.8141,                  2.432,                 2.0373,               0.008284,               0.008284,               0.008284
                     54,                 1.9856,                 1.1542,                 1.7547,                  0.688,                0.54174,                0.59222,                0.35136,                 2.9965,                 2.4552,                 2.0815,               0.008251,               0.008251,               0.008251
                     55,                  1.985,                 1.1434,                 1.7518,                0.72619,                 0.5151,                 0.6007,                0.36818,                 2.8663,                 2.5808,                 2.0359,               0.008218,               0.008218,               0.008218
                     56,                 1.9379,                 1.1156,                 1.7521,                0.75967,                0.51421,                0.60057,                0.37578,                 2.7951,                 2.4591,                 2.0233,               0.008185,               0.008185,               0.008185
                     57,                 1.9719,                 1.1341,                 1.7521,                 0.7255,                0.51599,                0.59392,                0.35996,                  2.916,                  2.536,                 2.0643,               0.008152,               0.008152,               0.008152
                     58,                 1.9383,                 1.1181,                 1.7456,                0.73167,                0.54085,                 0.6037,                0.37152,                 2.8306,                 2.4464,                 2.0238,               0.008119,               0.008119,               0.008119
                     59,                 1.9288,                 1.1074,                 1.7462,                0.74898,                0.53197,                0.59731,                0.36578,                  2.839,                 2.4471,                 2.0457,               0.008086,               0.008086,               0.008086
                     60,                 1.9128,                 1.0998,                 1.7434,                 0.6976,                 0.5373,                0.58831,                0.35422,                 2.9339,                 2.5089,                 2.0581,               0.008053,               0.008053,               0.008053
                     61,                 1.9166,                 1.0953,                 1.7408,                0.72966,                0.52398,                0.59496,                0.37554,                 2.8167,                 2.7267,                 2.0306,                0.00802,                0.00802,                0.00802
                     62,                 1.9108,                 1.0921,                 1.7421,                0.72532,                0.54618,                0.60366,                0.37666,                 2.7634,                 2.4207,                 2.0139,               0.007987,               0.007987,               0.007987
                     63,                 1.8782,                 1.0639,                 1.7339,                  0.741,                0.53108,                0.60509,                0.37077,                 2.8513,                 2.4786,                 2.0476,               0.007954,               0.007954,               0.007954
                     64,                   1.89,                 1.0598,                 1.7328,                0.71093,                0.54352,                0.60606,                 0.3736,                 2.8089,                  2.386,                 2.0294,               0.007921,               0.007921,               0.007921
                     65,                 1.8554,                 1.0453,                 1.7289,                0.72475,                0.53641,                0.60294,                0.37274,                 2.8623,                 2.4483,                 2.0615,               0.007888,               0.007888,               0.007888
                     66,                 1.8528,                 1.0586,                 1.7316,                0.73892,                0.51865,                0.59487,                0.36736,                  2.865,                 2.5943,                 2.0623,               0.007855,               0.007855,               0.007855
                     67,                 1.8681,                 1.0661,                 1.7333,                0.74384,                0.54885,                0.61164,                0.38565,                 2.7533,                 2.3192,                 2.0185,               0.007822,               0.007822,               0.007822
                     68,                  1.838,                 1.0363,                 1.7313,                0.70805,                0.54796,                0.60559,                0.37938,                 2.8052,                 2.3902,                 2.0466,               0.007789,               0.007789,               0.007789
                     69,                  1.829,                 1.0396,                 1.7289,                0.73666,                0.54159,                0.60626,                0.38153,                 2.7695,                 2.4167,                 2.0262,               0.007756,               0.007756,               0.007756
                     70,                 1.8244,                  1.024,                  1.724,                0.68316,                0.55773,                0.59899,                0.37964,                 2.7506,                 2.4638,                 2.0198,               0.007723,               0.007723,               0.007723
                     71,                 1.8192,                 1.0256,                 1.7257,                0.72279,                 0.5373,                0.59629,                0.37601,                 2.7759,                 2.4488,                 2.0193,                0.00769,                0.00769,                0.00769
                     72,                 1.7816,                 1.0052,                 1.7215,                0.69011,                 0.5524,                0.59882,                0.37255,                 2.7865,                 2.3203,                 2.0393,               0.007657,               0.007657,               0.007657
                     73,                 1.7778,                  1.001,                 1.7182,                0.75857,                0.51621,                0.59614,                0.37611,                 2.7813,                 2.4191,                 2.0269,               0.007624,               0.007624,               0.007624
                     74,                 1.7839,                      1,                 1.7248,                0.69432,                0.55151,                 0.5946,                0.38036,                 2.7932,                 2.4095,                 2.0278,               0.007591,               0.007591,               0.007591
                     75,                 1.7788,                  1.005,                 1.7248,                0.72346,                0.54263,                0.60165,                0.37466,                 2.7877,                 2.3768,                 2.0412,               0.007558,               0.007558,               0.007558
                     76,                 1.7805,                0.99832,                 1.7224,                0.75421,                 0.5314,                 0.6105,                0.39054,                 2.7377,                 2.3113,                 2.0192,               0.007525,               0.007525,               0.007525
                     77,                 1.7829,                0.98856,                 1.7182,                0.70575,                0.55381,                0.60442,                0.38385,                 2.7586,                 2.4851,                 2.0282,               0.007492,               0.007492,               0.007492
                     78,                 1.7887,                 1.0074,                 1.7192,                0.72717,                0.55151,                0.60615,                0.38689,                 2.7211,                 2.3965,                 2.0085,               0.007459,               0.007459,               0.007459
                     79,                 1.7594,                0.97424,                 1.7105,                0.70038,                0.55843,                0.61282,                0.39912,                 2.6852,                 2.3249,                 2.0009,               0.007426,               0.007426,               0.007426
