                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 2.3656,                 1.4721,                 1.8283,                0.64012,                0.54529,                0.57061,                0.33407,                 3.0839,                 2.5388,                 2.0996,               0.008845,               0.008845,               0.008845
                     37,                 2.3388,                 1.4353,                 1.8348,                0.68106,                0.51865,                0.56824,                0.33714,                 3.0191,                 2.4803,                 2.0694,               0.008812,               0.008812,               0.008812
                     38,                 2.2916,                 1.4179,                 1.8288,                0.70393,                0.49645,                0.54947,                0.32024,                 3.1239,                 2.5672,                 2.0897,               0.008779,               0.008779,               0.008779
                     39,                 2.3001,                 1.4054,                 1.8191,                0.72052,                0.52398,                0.57486,                0.33866,                  3.017,                 2.4328,                 2.0756,               0.008746,               0.008746,               0.008746
                     40,                 2.2805,                 1.3724,                 1.8064,                0.70061,                0.51954,                0.57052,                0.32235,                 3.1108,                 2.5223,                 2.0981,               0.008713,               0.008713,               0.008713
                     41,                 2.2386,                 1.3676,                 1.8071,                0.63369,                 0.5524,                0.55649,                0.33663,                  2.951,                 2.5243,                 2.0568,                0.00868,                0.00868,                0.00868
                     42,                  2.259,                 1.3815,                  1.805,                0.66349,                0.51155,                0.54034,                0.32174,                 2.9995,                 2.5348,                   2.06,               0.008647,               0.008647,               0.008647
                     43,                  2.244,                 1.3424,                 1.8071,                0.70064,                0.51548,                0.55752,                0.32186,                 3.0519,                 2.5313,                 2.0795,               0.008614,               0.008614,               0.008614
                     44,                 2.2139,                 1.3441,                 1.8017,                0.68734,                0.53375,                0.57026,                0.33605,                 3.0255,                 2.4952,                 2.0707,               0.008581,               0.008581,               0.008581
                     45,                 2.1545,                 1.2942,                 1.7923,                0.66495,                0.55696,                0.57694,                0.34762,                 2.9556,                 2.5079,                 2.0656,               0.008548,               0.008548,               0.008548
                     46,                 2.1963,                 1.3096,                 1.7909,                0.67523,                0.55417,                0.57867,                0.33315,                 3.0807,                 2.5385,                 2.0773,               0.008515,               0.008515,               0.008515
                     47,                 2.1728,                 1.3103,                 1.7881,                0.70452,                0.50799,                0.55122,                0.30556,                 3.1551,                 2.6146,                 2.0839,               0.008482,               0.008482,               0.008482
                     48,                 2.1251,                 1.2781,                 1.7874,                0.70399,                0.49378,                0.54895,                0.32153,                 3.0656,                 2.7067,                  2.085,               0.008449,               0.008449,               0.008449
                     49,                 2.1466,                 1.2679,                 1.7867,                0.65716,                0.53908,                0.55641,                 0.3251,                 3.0758,                 2.6294,                 2.0965,               0.008416,               0.008416,               0.008416
                     50,                 2.1371,                 1.2686,                 1.7774,                0.65234,                0.52326,                0.56069,                0.31885,                 3.1553,                 2.6374,                 2.1046,               0.008383,               0.008383,               0.008383
                     51,                 2.1139,                 1.2598,                 1.7831,                0.70457,                0.51467,                0.56121,                0.33367,                 3.0038,                 2.5465,                 2.0817,                0.00835,                0.00835,                0.00835
                     52,                 2.1246,                 1.2602,                 1.7839,                0.72362,                0.51619,                0.58206,                0.35153,                 2.9851,                  2.481,                   2.09,               0.008317,               0.008317,               0.008317
                     53,                 2.0828,                 1.2214,                 1.7756,                0.78028,                0.48884,                0.57515,                0.35051,                 2.9272,                 2.4693,                 2.0661,               0.008284,               0.008284,               0.008284
                     54,                 2.0862,                 1.2376,                 1.7784,                0.72424,                0.51315,                0.57169,                0.32988,                 3.0393,                 2.7486,                  2.089,               0.008251,               0.008251,               0.008251
                     55,                 2.0784,                   1.21,                 1.7708,                0.70299,                0.50239,                0.56501,                 0.3363,                 2.9339,                 2.5257,                 2.0501,               0.008218,               0.008218,               0.008218
                     56,                 2.0904,                 1.2267,                 1.7682,                0.74841,                0.53893,                0.60798,                 0.3638,                 2.9256,                 2.4618,                  2.043,               0.008185,               0.008185,               0.008185
                     57,                 2.0352,                 1.1911,                 1.7629,                0.71028,                 0.5302,                0.59092,                0.35771,                 2.8935,                 2.4352,                 2.0556,               0.008152,               0.008152,               0.008152
                     58,                 2.0116,                 1.1663,                 1.7611,                0.66168,                0.53819,                0.56995,                0.34778,                 2.9644,                 2.5075,                 2.0575,               0.008119,               0.008119,               0.008119
                     59,                 2.0188,                 1.1746,                 1.7618,                0.71457,                0.55139,                0.59625,                0.36174,                 2.9637,                 2.5737,                 2.0636,               0.008086,               0.008086,               0.008086
                     60,                  2.031,                 1.1787,                 1.7576,                0.70666,                0.54557,                0.59407,                0.36275,                 2.9785,                  2.467,                 2.0779,               0.008053,               0.008053,               0.008053
                     61,                 1.9957,                  1.168,                 1.7563,                0.71425,                0.51421,                0.57464,                0.33752,                 2.9728,                 2.6023,                 2.0515,                0.00802,                0.00802,                0.00802
                     62,                 1.9928,                 1.1682,                 1.7598,                0.73288,                0.53286,                0.59575,                0.34746,                 2.9912,                 2.3982,                 2.0736,               0.007987,               0.007987,               0.007987
                     63,                 1.9991,                 1.1532,                 1.7545,                0.71254,                 0.5444,                 0.5998,                0.36119,                  2.939,                 2.4099,                 2.0762,               0.007954,               0.007954,               0.007954
                     64,                 1.9516,                 1.1325,                 1.7526,                0.69455,                0.52931,                0.58234,                0.35345,                 3.0019,                 2.4838,                 2.0767,               0.007921,               0.007921,               0.007921
                     65,                 1.9732,                 1.1408,                 1.7457,                0.74148,                0.50533,                0.57303,                0.35559,                 2.8329,                 2.3978,                 2.0516,               0.007888,               0.007888,               0.007888
                     66,                 1.9331,                 1.1243,                 1.7482,                0.71752,                 0.5617,                0.60901,                0.37802,                 2.8227,                 2.3998,                 2.0306,               0.007855,               0.007855,               0.007855
                     67,                 1.9546,                 1.1194,                 1.7495,                0.73677,                0.54263,                0.59073,                 0.3597,                 2.9119,                 2.5045,                 2.0607,               0.007822,               0.007822,               0.007822
                     68,                 1.9424,                 1.1183,                 1.7462,                0.69781,                0.53819,                0.59288,                0.36405,                 2.8661,                 2.3909,                 2.0544,               0.007789,               0.007789,               0.007789
                     69,                  1.902,                 1.0767,                 1.7387,                0.71377,                0.52043,                0.57322,                0.36294,                 2.8792,                 2.5475,                 2.0523,               0.007756,               0.007756,               0.007756
                     70,                 1.9178,                  1.085,                 1.7444,                0.74299,                 0.5222,                0.59331,                0.37349,                 2.8058,                 2.3839,                 2.0478,               0.007723,               0.007723,               0.007723
                     71,                 1.9098,                 1.0893,                 1.7423,                0.75069,                 0.4929,                0.57288,                0.35991,                 2.8649,                 2.6594,                 2.0566,                0.00769,                0.00769,                0.00769
                     72,                 1.8921,                 1.0783,                 1.7403,                0.75074,                0.51356,                0.59673,                0.36622,                 2.8786,                 2.4276,                 2.0749,               0.007657,               0.007657,               0.007657
                     73,                  1.875,                 1.0713,                 1.7345,                0.71584,                0.53819,                0.59274,                0.35874,                 2.9273,                 2.4713,                 2.0514,               0.007624,               0.007624,               0.007624
                     74,                 1.8662,                 1.0596,                 1.7287,                0.71884,                0.50622,                0.56829,                0.34157,                 2.9827,                 2.6723,                 2.0692,               0.007591,               0.007591,               0.007591
                     75,                 1.8855,                 1.0637,                 1.7381,                0.73647,                0.52487,                 0.5865,                0.36936,                 2.7976,                 2.5111,                 2.0442,               0.007558,               0.007558,               0.007558
                     76,                 1.8779,                 1.0716,                 1.7343,                0.72617,                0.52283,                0.59171,                0.36227,                 2.8657,                 2.5052,                 2.0551,               0.007525,               0.007525,               0.007525
                     77,                 1.8786,                 1.0644,                 1.7281,                0.78042,                0.50089,                0.58662,                 0.3701,                  2.791,                 2.6436,                 2.0261,               0.007492,               0.007492,               0.007492
                     78,                 1.8299,                 1.0245,                 1.7263,                0.73063,                0.52043,                0.60008,                0.37839,                 2.7559,                 2.3022,                 2.0285,               0.007459,               0.007459,               0.007459
                     79,                 1.8648,                 1.0365,                 1.7316,                0.67953,                0.52931,                 0.5885,                0.36133,                 2.8757,                 2.6635,                 2.0493,               0.007426,               0.007426,               0.007426
                     80,                 1.8478,                 1.0416,                 1.7283,                0.74164,                0.52771,                0.59173,                0.37627,                 2.8133,                 2.5488,                 2.0386,               0.007393,               0.007393,               0.007393
                     81,                 1.8292,                 1.0268,                 1.7252,                0.74033,                 0.5373,                0.59047,                0.35943,                 2.9109,                 2.4108,                 2.0808,                0.00736,                0.00736,                0.00736
                     82,                 1.8146,                 1.0194,                 1.7225,                0.76319,                0.49802,                0.57165,                0.35115,                  2.894,                 2.6629,                 2.0629,               0.007327,               0.007327,               0.007327
                     83,                 1.8196,                 1.0238,                 1.7205,                0.72597,                0.52842,                0.57997,                 0.3631,                  2.832,                 2.5885,                 2.0466,               0.007294,               0.007294,               0.007294
                     84,                 1.8102,                 1.0089,                 1.7212,                0.75126,                0.52753,                0.59886,                0.36913,                 2.8445,                 2.4817,                 2.0541,               0.007261,               0.007261,               0.007261
                     85,                 1.8266,                 1.0157,                 1.7262,                0.70596,                0.54797,                0.59551,                0.37616,                 2.7864,                 2.5351,                 2.0334,               0.007228,               0.007228,               0.007228
                     86,                 1.8296,                  1.025,                 1.7243,                0.73418,                0.53108,                0.59187,                0.37486,                 2.8041,                 2.3953,                 2.0463,               0.007195,               0.007195,               0.007195
